               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 130,             0.03908,            0.025988,           0.0060353,             0.56957,             0.47092,             0.46468,             0.23509,            0.053066,            0.017891,            0.026578,           0.0074458,           0.0074458,           0.0074458
                 131,            0.038242,            0.024857,           0.0052657,             0.58359,             0.44864,             0.45082,             0.23217,            0.052093,            0.017789,              0.0289,            0.007426,            0.007426,            0.007426
                 132,            0.038068,            0.024228,           0.0047208,             0.49624,             0.44188,             0.41947,             0.21647,            0.052716,            0.018109,            0.035638,           0.0074062,           0.0074062,           0.0074062
                 133,            0.038411,            0.025699,           0.0051976,             0.56295,              0.4462,              0.4418,             0.22891,            0.051215,            0.017796,            0.031846,           0.0073864,           0.0073864,           0.0073864
                 134,            0.037811,            0.025433,           0.0056313,             0.51246,             0.46274,             0.45196,             0.23615,            0.053322,            0.018034,            0.028128,           0.0073666,           0.0073666,           0.0073666
                 135,            0.037968,             0.02427,           0.0052197,             0.51986,              0.4673,             0.43273,             0.22301,            0.052381,            0.017718,            0.030653,           0.0073468,           0.0073468,           0.0073468
                 136,            0.037529,            0.024694,           0.0044772,             0.50867,             0.45432,             0.42123,             0.21136,            0.053348,            0.017854,            0.032495,            0.007327,            0.007327,            0.007327
                 137,            0.037168,            0.024936,           0.0049756,             0.52785,             0.43961,             0.43511,             0.23685,            0.052157,            0.017848,            0.030746,           0.0073072,           0.0073072,           0.0073072
                 138,            0.037042,            0.024043,           0.0050548,             0.50411,             0.45549,             0.43724,             0.23083,            0.051994,            0.017742,            0.033466,           0.0072874,           0.0072874,           0.0072874
                 139,            0.037524,            0.024508,           0.0048094,             0.50108,             0.45123,             0.42055,             0.21891,            0.055161,            0.017925,            0.037992,           0.0072676,           0.0072676,           0.0072676
                 140,               0.037,            0.024626,           0.0050712,              0.5256,              0.4245,             0.40176,             0.21505,            0.053542,            0.017458,            0.036421,           0.0072478,           0.0072478,           0.0072478
                 141,            0.037783,            0.024004,           0.0050551,             0.51171,             0.40457,             0.40075,             0.20736,            0.053907,            0.017855,            0.030298,            0.007228,            0.007228,            0.007228
                 142,            0.037522,            0.024377,           0.0052733,             0.54731,              0.4265,             0.41867,             0.21897,            0.053719,            0.018273,            0.028199,           0.0072082,           0.0072082,           0.0072082
                 143,            0.037984,            0.024593,           0.0046521,             0.57168,             0.39383,             0.42469,             0.21864,            0.054107,            0.018135,             0.03158,           0.0071884,           0.0071884,           0.0071884
                 144,            0.036653,            0.023685,           0.0047513,             0.50611,             0.45373,             0.40799,             0.21698,            0.053148,            0.017862,            0.032424,           0.0071686,           0.0071686,           0.0071686
                 145,            0.037446,            0.023598,            0.004918,             0.53682,             0.43439,             0.44077,             0.23243,            0.053395,            0.017778,            0.028163,           0.0071488,           0.0071488,           0.0071488
                 146,            0.037478,            0.024399,           0.0052535,             0.51335,              0.4838,             0.43925,             0.23264,            0.052298,            0.017852,             0.02537,            0.007129,            0.007129,            0.007129
                 147,            0.037072,            0.024138,           0.0051226,             0.53443,             0.46101,             0.43861,             0.23382,            0.052406,            0.017588,            0.025287,           0.0071092,           0.0071092,           0.0071092
                 148,            0.036334,            0.023987,           0.0043855,             0.51261,             0.49743,             0.46065,             0.24703,            0.052313,            0.017696,            0.026992,           0.0070894,           0.0070894,           0.0070894
                 149,            0.037154,            0.024625,            0.004118,             0.56498,             0.42992,             0.44469,             0.24088,            0.052568,            0.017556,            0.026679,           0.0070696,           0.0070696,           0.0070696
                 150,            0.037194,            0.024194,           0.0044888,             0.47724,             0.50955,             0.45027,              0.2476,            0.051741,            0.017532,            0.030177,           0.0070498,           0.0070498,           0.0070498
                 151,            0.036853,            0.023631,           0.0044875,             0.54307,             0.44376,             0.43999,             0.22823,            0.051854,            0.018107,            0.029825,             0.00703,             0.00703,             0.00703
                 152,            0.036742,            0.024798,           0.0048565,             0.51375,             0.45924,             0.44271,              0.2348,            0.052583,            0.017954,             0.02752,           0.0070102,           0.0070102,           0.0070102
